filename,source_row_index,missing_fields_detected,suggested_base_note,suggested_base_oct,suggested_volume_peak_dbfs,suggested_volume_rms_dbfs,pitch_confidence,analysis_status,notes,detected_hz,suggested_transpose_to_c,clipped,peak_dbfs,rms_dbfs,volume_classification,is_c_pitch_class,near_c
SubtleBassPercussive.wav,70,base_note|base_oct|volume,,,0.00,-9.32,,unpitched,"Best pitch candidate landed on the search boundary, so it is treated as unreliable.",,,yes,0.00,-9.32,too_hot,no,no
RiserWhooshShort.wav,71,base_note|base_oct|volume,,,0.00,-13.33,,unpitched,No stable autocorrelation peak was found.,,,yes,0.00,-13.33,too_hot,no,no
ClickPercussionShort.wav,72,base_note|base_oct|volume,C,5,-22.45,-38.04,1.00,pitched,autocorr=0.965; cents_error=-5.0,521.74,0,no,-22.45,-38.04,quiet,yes,yes
ClosedHatElectronicShort.wav,73,base_note|base_oct|volume,,,-13.86,-32.03,,unpitched,No stable autocorrelation peak was found.,,,no,-13.86,-32.03,quiet,no,no
SoftSynthPadShort1.wav,74,base_note|base_oct|volume,C,4,-30.01,-43.52,1.00,pitched,autocorr=0.995; cents_error=-5.0,260.87,0,no,-30.01,-43.52,quiet,yes,yes
SoftSynthPadShort2.wav,75,base_note|base_oct|volume,C,3,-22.85,-37.23,1.00,pitched,autocorr=0.987; cents_error=+13.9,131.87,0,no,-22.85,-37.23,quiet,yes,yes
ChiptuneArp.wav,76,base_note|base_oct|volume,C,4,-0.00,-17.22,1.00,pitched,autocorr=0.933; cents_error=-5.0,260.87,0,yes,-0.00,-17.22,too_hot,yes,yes
SynthPluckLeadShort.wav,77,base_note|base_oct|volume,G,4,-2.81,-17.25,0.86,pitched,autocorr=0.821; cents_error=+7.7,393.75,5,no,-2.81,-17.25,ok,no,no
DigitalSynthLeadShort.wav,78,base_note|base_oct|volume,C,3,-0.63,-15.63,1.00,pitched,autocorr=0.984; cents_error=-5.0,130.43,0,no,-0.63,-15.63,too_hot,yes,yes
AnalogPluckArp.wav,79,base_note|base_oct|volume,C,3,-0.00,-21.51,1.00,pitched,autocorr=0.971; cents_error=-5.0,130.43,0,yes,-0.00,-21.51,too_hot,yes,yes
SoftSynthPadShort.wav,80,base_note|base_oct|volume,C,5,-19.90,-37.47,1.00,pitched,autocorr=0.999; cents_error=-5.0,521.74,0,no,-19.90,-37.47,quiet,yes,yes
TightElectronicKick.wav,81,base_note|base_oct|volume,,,-0.11,-9.59,,unpitched,"Best pitch candidate landed on the search boundary, so it is treated as unreliable.",,,no,-0.11,-9.59,too_hot,no,no
